logical_x	logical_y	runtime_x0	runtime_y0	runtime_x1	runtime_y1	expected_rgba	actual_origin_rgba	uniform	mismatch_pixels
0	0	0	0	7	7	#00000000	#00000000	true	0
1	0	8	0	15	7	#00000000	#00000000	true	0
2	0	16	0	23	7	#00000000	#00000000	true	0
3	0	24	0	31	7	#00000000	#00000000	true	0
4	0	32	0	39	7	#00000000	#00000000	true	0
5	0	40	0	47	7	#00000000	#00000000	true	0
6	0	48	0	55	7	#00000000	#00000000	true	0
7	0	56	0	63	7	#00000000	#00000000	true	0
8	0	64	0	71	7	#00000000	#00000000	true	0
9	0	72	0	79	7	#00000000	#00000000	true	0
10	0	80	0	87	7	#00000000	#00000000	true	0
11	0	88	0	95	7	#00000000	#00000000	true	0
12	0	96	0	103	7	#00000000	#00000000	true	0
13	0	104	0	111	7	#00000000	#00000000	true	0
14	0	112	0	119	7	#00000000	#00000000	true	0
15	0	120	0	127	7	#00000000	#00000000	true	0
16	0	128	0	135	7	#00000000	#00000000	true	0
17	0	136	0	143	7	#00000000	#00000000	true	0
18	0	144	0	151	7	#00000000	#00000000	true	0
19	0	152	0	159	7	#00000000	#00000000	true	0
20	0	160	0	167	7	#00000000	#00000000	true	0
21	0	168	0	175	7	#00000000	#00000000	true	0
22	0	176	0	183	7	#00000000	#00000000	true	0
23	0	184	0	191	7	#00000000	#00000000	true	0
0	1	0	8	7	15	#00000000	#00000000	true	0
1	1	8	8	15	15	#00000000	#00000000	true	0
2	1	16	8	23	15	#00000000	#00000000	true	0
3	1	24	8	31	15	#00000000	#00000000	true	0
4	1	32	8	39	15	#00000000	#00000000	true	0
5	1	40	8	47	15	#00000000	#00000000	true	0
6	1	48	8	55	15	#00000000	#00000000	true	0
7	1	56	8	63	15	#00000000	#00000000	true	0
8	1	64	8	71	15	#00000000	#00000000	true	0
9	1	72	8	79	15	#00000000	#00000000	true	0
10	1	80	8	87	15	#00000000	#00000000	true	0
11	1	88	8	95	15	#00000000	#00000000	true	0
12	1	96	8	103	15	#00000000	#00000000	true	0
13	1	104	8	111	15	#00000000	#00000000	true	0
14	1	112	8	119	15	#2A3340FF	#2A3340FF	true	0
15	1	120	8	127	15	#2A3340FF	#2A3340FF	true	0
16	1	128	8	135	15	#2A3340FF	#2A3340FF	true	0
17	1	136	8	143	15	#00000000	#00000000	true	0
18	1	144	8	151	15	#00000000	#00000000	true	0
19	1	152	8	159	15	#00000000	#00000000	true	0
20	1	160	8	167	15	#2A3340FF	#2A3340FF	true	0
21	1	168	8	175	15	#2A3340FF	#2A3340FF	true	0
22	1	176	8	183	15	#00000000	#00000000	true	0
23	1	184	8	191	15	#00000000	#00000000	true	0
0	2	0	16	7	23	#00000000	#00000000	true	0
1	2	8	16	15	23	#00000000	#00000000	true	0
2	2	16	16	23	23	#00000000	#00000000	true	0
3	2	24	16	31	23	#00000000	#00000000	true	0
4	2	32	16	39	23	#00000000	#00000000	true	0
5	2	40	16	47	23	#00000000	#00000000	true	0
6	2	48	16	55	23	#00000000	#00000000	true	0
7	2	56	16	63	23	#00000000	#00000000	true	0
8	2	64	16	71	23	#00000000	#00000000	true	0
9	2	72	16	79	23	#00000000	#00000000	true	0
10	2	80	16	87	23	#00000000	#00000000	true	0
11	2	88	16	95	23	#00000000	#00000000	true	0
12	2	96	16	103	23	#00000000	#00000000	true	0
13	2	104	16	111	23	#2A3340FF	#2A3340FF	true	0
14	2	112	16	119	23	#2A3340FF	#2A3340FF	true	0
15	2	120	16	127	23	#F4F2E8FF	#F4F2E8FF	true	0
16	2	128	16	135	23	#2A3340FF	#2A3340FF	true	0
17	2	136	16	143	23	#00000000	#00000000	true	0
18	2	144	16	151	23	#00000000	#00000000	true	0
19	2	152	16	159	23	#2A3340FF	#2A3340FF	true	0
20	2	160	16	167	23	#F4F2E8FF	#F4F2E8FF	true	0
21	2	168	16	175	23	#2A3340FF	#2A3340FF	true	0
22	2	176	16	183	23	#00000000	#00000000	true	0
23	2	184	16	191	23	#00000000	#00000000	true	0
0	3	0	24	7	31	#00000000	#00000000	true	0
1	3	8	24	15	31	#00000000	#00000000	true	0
2	3	16	24	23	31	#00000000	#00000000	true	0
3	3	24	24	31	31	#00000000	#00000000	true	0
4	3	32	24	39	31	#00000000	#00000000	true	0
5	3	40	24	47	31	#00000000	#00000000	true	0
6	3	48	24	55	31	#00000000	#00000000	true	0
7	3	56	24	63	31	#00000000	#00000000	true	0
8	3	64	24	71	31	#00000000	#00000000	true	0
9	3	72	24	79	31	#00000000	#00000000	true	0
10	3	80	24	87	31	#00000000	#00000000	true	0
11	3	88	24	95	31	#00000000	#00000000	true	0
12	3	96	24	103	31	#00000000	#00000000	true	0
13	3	104	24	111	31	#2A3340FF	#2A3340FF	true	0
14	3	112	24	119	31	#F4F2E8FF	#F4F2E8FF	true	0
15	3	120	24	127	31	#F4F2E8FF	#F4F2E8FF	true	0
16	3	128	24	135	31	#F4F2E8FF	#F4F2E8FF	true	0
17	3	136	24	143	31	#2A3340FF	#2A3340FF	true	0
18	3	144	24	151	31	#00000000	#00000000	true	0
19	3	152	24	159	31	#CDD2D8FF	#CDD2D8FF	true	0
20	3	160	24	167	31	#F4F2E8FF	#F4F2E8FF	true	0
21	3	168	24	175	31	#2A3340FF	#2A3340FF	true	0
22	3	176	24	183	31	#00000000	#00000000	true	0
23	3	184	24	191	31	#00000000	#00000000	true	0
0	4	0	32	7	39	#00000000	#00000000	true	0
1	4	8	32	15	39	#00000000	#00000000	true	0
2	4	16	32	23	39	#00000000	#00000000	true	0
3	4	24	32	31	39	#00000000	#00000000	true	0
4	4	32	32	39	39	#00000000	#00000000	true	0
5	4	40	32	47	39	#00000000	#00000000	true	0
6	4	48	32	55	39	#00000000	#00000000	true	0
7	4	56	32	63	39	#00000000	#00000000	true	0
8	4	64	32	71	39	#00000000	#00000000	true	0
9	4	72	32	79	39	#00000000	#00000000	true	0
10	4	80	32	87	39	#00000000	#00000000	true	0
11	4	88	32	95	39	#00000000	#00000000	true	0
12	4	96	32	103	39	#00000000	#00000000	true	0
13	4	104	32	111	39	#2A3340FF	#2A3340FF	true	0
14	4	112	32	119	39	#F4F2E8FF	#F4F2E8FF	true	0
15	4	120	32	127	39	#F4F2E8FF	#F4F2E8FF	true	0
16	4	128	32	135	39	#F4F2E8FF	#F4F2E8FF	true	0
17	4	136	32	143	39	#2A3340FF	#2A3340FF	true	0
18	4	144	32	151	39	#2A3340FF	#2A3340FF	true	0
19	4	152	32	159	39	#F4F2E8FF	#F4F2E8FF	true	0
20	4	160	32	167	39	#F4F2E8FF	#F4F2E8FF	true	0
21	4	168	32	175	39	#2A3340FF	#2A3340FF	true	0
22	4	176	32	183	39	#00000000	#00000000	true	0
23	4	184	32	191	39	#00000000	#00000000	true	0
0	5	0	40	7	47	#00000000	#00000000	true	0
1	5	8	40	15	47	#00000000	#00000000	true	0
2	5	16	40	23	47	#00000000	#00000000	true	0
3	5	24	40	31	47	#00000000	#00000000	true	0
4	5	32	40	39	47	#00000000	#00000000	true	0
5	5	40	40	47	47	#00000000	#00000000	true	0
6	5	48	40	55	47	#00000000	#00000000	true	0
7	5	56	40	63	47	#00000000	#00000000	true	0
8	5	64	40	71	47	#00000000	#00000000	true	0
9	5	72	40	79	47	#00000000	#00000000	true	0
10	5	80	40	87	47	#00000000	#00000000	true	0
11	5	88	40	95	47	#00000000	#00000000	true	0
12	5	96	40	103	47	#2A3340FF	#2A3340FF	true	0
13	5	104	40	111	47	#F4F2E8FF	#F4F2E8FF	true	0
14	5	112	40	119	47	#F4F2E8FF	#F4F2E8FF	true	0
15	5	120	40	127	47	#F4F2E8FF	#F4F2E8FF	true	0
16	5	128	40	135	47	#F4F2E8FF	#F4F2E8FF	true	0
17	5	136	40	143	47	#F4F2E8FF	#F4F2E8FF	true	0
18	5	144	40	151	47	#F4F2E8FF	#F4F2E8FF	true	0
19	5	152	40	159	47	#F4F2E8FF	#F4F2E8FF	true	0
20	5	160	40	167	47	#F4F2E8FF	#F4F2E8FF	true	0
21	5	168	40	175	47	#2A3340FF	#2A3340FF	true	0
22	5	176	40	183	47	#2A3340FF	#2A3340FF	true	0
23	5	184	40	191	47	#00000000	#00000000	true	0
0	6	0	48	7	55	#00000000	#00000000	true	0
1	6	8	48	15	55	#00000000	#00000000	true	0
2	6	16	48	23	55	#00000000	#00000000	true	0
3	6	24	48	31	55	#00000000	#00000000	true	0
4	6	32	48	39	55	#00000000	#00000000	true	0
5	6	40	48	47	55	#00000000	#00000000	true	0
6	6	48	48	55	55	#00000000	#00000000	true	0
7	6	56	48	63	55	#00000000	#00000000	true	0
8	6	64	48	71	55	#00000000	#00000000	true	0
9	6	72	48	79	55	#00000000	#00000000	true	0
10	6	80	48	87	55	#00000000	#00000000	true	0
11	6	88	48	95	55	#00000000	#00000000	true	0
12	6	96	48	103	55	#2A3340FF	#2A3340FF	true	0
