frame	state	pose	rgba_sha256
0	idle	canonical	cfb50024b6b044d37a9d55f0cf995f5688a4722907cc35b7cc30a350cab7992d
1	idle	canonical	cfb50024b6b044d37a9d55f0cf995f5688a4722907cc35b7cc30a350cab7992d
2	idle	blink	fb144a32fb2fc5bed451398536bd18d2d617e7ff136b591a84c6575de9e939e9
3	idle	canonical	cfb50024b6b044d37a9d55f0cf995f5688a4722907cc35b7cc30a350cab7992d
4	idle	ear-twitch	81eebe6776389413ca0f11f2f721e6d37d7149f7eefda88335b71271db5ce28c
5	idle	canonical	cfb50024b6b044d37a9d55f0cf995f5688a4722907cc35b7cc30a350cab7992d
6	idle	tail-lift	01e87a38df1c52471a3776443d466ddac9551dadf4ec81bc07dee5f6a8789137
7	idle	canonical	cfb50024b6b044d37a9d55f0cf995f5688a4722907cc35b7cc30a350cab7992d
8	running-right	run-right-a	ac7e84a8ea3cf778e6e67864a5767b9e6e903e9cb62ae968cd4ecd7dd07848d6
9	running-right	run-right-b	230ab033af9cf049268a986c31c22dc6c4c9be6dd95eaa69c8c757e5693df6d6
10	running-right	run-right-a	ac7e84a8ea3cf778e6e67864a5767b9e6e903e9cb62ae968cd4ecd7dd07848d6
11	running-right	run-right-b	230ab033af9cf049268a986c31c22dc6c4c9be6dd95eaa69c8c757e5693df6d6
12	running-right	run-right-a	ac7e84a8ea3cf778e6e67864a5767b9e6e903e9cb62ae968cd4ecd7dd07848d6
13	running-right	run-right-b	230ab033af9cf049268a986c31c22dc6c4c9be6dd95eaa69c8c757e5693df6d6
14	running-right	run-right-a	ac7e84a8ea3cf778e6e67864a5767b9e6e903e9cb62ae968cd4ecd7dd07848d6
15	running-right	run-right-b	230ab033af9cf049268a986c31c22dc6c4c9be6dd95eaa69c8c757e5693df6d6
16	running-left	run-left-a	e8191c15145d02bdf1f6acb0cb8305b6957c408baf90d9a8a5ae43a049295f6d
17	running-left	run-left-b	1f060631d237290342c6a5404ccf98f093f80e401fe798360207b5b7563a362a
18	running-left	run-left-a	e8191c15145d02bdf1f6acb0cb8305b6957c408baf90d9a8a5ae43a049295f6d
19	running-left	run-left-b	1f060631d237290342c6a5404ccf98f093f80e401fe798360207b5b7563a362a
20	running-left	run-left-a	e8191c15145d02bdf1f6acb0cb8305b6957c408baf90d9a8a5ae43a049295f6d
21	running-left	run-left-b	1f060631d237290342c6a5404ccf98f093f80e401fe798360207b5b7563a362a
22	running-left	run-left-a	e8191c15145d02bdf1f6acb0cb8305b6957c408baf90d9a8a5ae43a049295f6d
23	running-left	run-left-b	1f060631d237290342c6a5404ccf98f093f80e401fe798360207b5b7563a362a
24	waving	canonical	cfb50024b6b044d37a9d55f0cf995f5688a4722907cc35b7cc30a350cab7992d
25	waving	wave-low	54e876985163cc0930a7b1655fef43e5bd3ba20fa9e2c2d6c43b3ba82ec2649e
